number	paper_code	name_of_publication	Link	family	crop_name	n 	timing_of_stress	T_optimal	T_stress	Comments	Duration_Days	accumulated_heat_units	yield_control	sd_control		yield_heat	sd_heat	rel_yield_heat	delT	yield_difference	SE_control	SE_stress	SE_max	yield_difference_weighted	relative_yield_weighted
52		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	35		30	150	5,98	0,76		5,76	0,74	96,32107023	5	0,22	0,339882333	0,330938061	0,339882333	-0,119882333	95,9811879
53		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	35		30	150	5,27	0,67		5,19	0,73	98,48197343	5	0,08	0,299633109	0,326465925	0,326465925	-0,246465925	98,15550751
54		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	35		30	150	5,13	0,73		4,98	0,65	97,07602339	5	0,15	0,326465925	0,290688837	0,326465925	-0,176465925	96,74955747
55		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	38		27	216	5,98	0,76		4,59	0,65	76,75585284	8	1,39	0,339882333	0,290688837	0,339882333	1,050117667	76,41597051
56		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	38		27	216	5,27	0,67		4,23	0,55	80,26565465	8	1,04	0,299633109	0,245967478	0,299633109	0,740366891	79,96602154
57		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	38		27	216	5,13	0,73		3,96	0,62	77,19298246	8	1,17	0,326465925	0,277272429	0,326465925	0,843534075	76,86651653
58		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	40		25	250	5,98	0,76		3,09	0,32	51,6722408	10	2,89	0,339882333	0,143108351	0,339882333	2,550117667	51,33235847
59		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	40		25	250	5,27	0,67		2,89	0,4	54,83870968	10	2,38	0,299633109	0,178885438	0,299633109	2,080366891	54,53907657
60		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			chickpea	5		30	40		25	250	5,13	0,73		2,84	0,33	55,36062378	10	2,29	0,326465925	0,147580487	0,326465925	1,963534075	55,03415786
61		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			lentill	5		30	35		30	150	2,19	0,72		1,98	0,64	90,4109589	5	0,21	0,321993789	0,286216701	0,321993789	-0,111993789	90,08896512
62		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			lentill	5		30	35		30	150	2,28	0,64		1,87	0,43	82,01754386	5	0,41	0,286216701	0,192301846	0,286216701	0,123783299	81,73132716
63		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			lentill	5		30	38		27	216	2,19	0,72		1,06	0,31	48,40182648	8	1,13	0,321993789	0,138636215	0,321993789	0,808006211	48,0798327
64		Differential heat sensitivity of two cool_season legumes, chickpea and lentil, at the reproductive stage, is associated with responses in pollen function, photosynthetic ability and oxidative damage			lentill	5		30	38		27	216	2,28	0,64		1,02	0,62	44,73684211	8	1,26	0,286216701	0,277272429	0,286216701	0,973783299	44,4506254
65		Soybean [Glycine max (L.) Merrill] seed yield response to high temperature stress during reproductive growth stages			soybean	6		25	35		14	140	2,93	0,6		2,08	0,5	70,98976109	10	0,85	0,244948974	0,204124145	0,244948974	0,605051026	70,74481212
66		Soybean [Glycine max (L.) Merrill] seed yield response to high temperature stress during reproductive growth stages			soybean	6		25	35		14	140	2,5	0,43		1,82	0,34	72,8	10	0,68	0,175546765	0,138804419	0,175546765	0,504453235	72,62445324
